# Radial distribution function in trajectory ewald/nacl/molten/md/NVT/trajectory.nc
# Using selection: name Na
# r   g(r)   N_ij(r)   N_ji(r)
9.075 1.01414 49.4132 49.4132
9.125 1.00559 50.2369 50.2369
9.175 1.00017 51.0652 51.0652
9.225 0.992514 51.8962 51.8962
9.275 0.984779 52.7296 52.7296
9.325 0.975378 53.564 53.564
9.375 0.96862 54.4015 54.4015
9.425 0.960674 55.241 55.241
9.475 0.956005 56.0854 56.0854
9.525 0.949698 56.933 56.933
9.575 0.946573 57.7868 57.7868
9.625 0.940541 58.644 58.644
9.675 0.934161 59.5042 59.5042
9.725 0.93198 60.3713 60.3713
9.775 0.931114 61.2466 61.2466
9.825 0.926752 62.1267 62.1267
9.875 0.927722 63.0167 63.0167
9.925 0.925824 63.9139 63.9139
9.975 0.923751 64.8181 64.8181
