# p t1 t2 %1 %2 Δt1 Δt2 Δ%1 Δ%2
0 1.40658839313 11.2741911632 45.1743287634 8.9437862363 0.0206933636138 0.241260899072 0.470069756936 0.193643630817
0.1 1.40651605988 11.6638325503 44.2341190602 9.39226539027 0.0187737465731 0.212261622648 0.423038505805 0.168128595784
0.2 1.42127458557 11.591063478 44.2164873576 10.1748996435 0.0190691693146 0.198043783791 0.41753045917 0.172585166927
0.3 1.45827087227 12.302583107 43.7652445297 10.6185249808 0.0179529222323 0.191058651544 0.373054196269 0.157258790853
0.5 1.4930209429 12.2963264259 42.5444179721 12.2687513997 0.0191827543321 0.172647524966 0.365279597645 0.165826395066
1 1.58365255588 15.1297401334 38.9469272582 15.7612759245 0.0208743510758 0.17698782932 0.337019381257 0.15152366626
