# c Ow-Ow Ow-Hw Li-Cl Cl-Li Li-Ow Ow-Li Cl-Hw Hw-Cl
0 4.22953 3.59926 nan nan nan nan nan nan
1 4.78557 3.49245 0.0854167 0.0854167 4.00625 0.0728777 6.21458 0.0565248
5 5.16059 3.12862 0.71118 0.71118 3.31957 0.298742 4.82857 0.217272
10 4.77198 2.84466 1.31429 1.31429 2.69207 0.485317 3.7297 0.336189
15 4.33648 2.67048 1.71736 1.71736 2.24119 0.606237 3.01023 0.40713
20 3.88411 2.55512 2.0081 2.0081 1.91352 0.689637 2.49431 0.449478
