Relative Pressure (p/p°), Absolute Pressure (mmHg), Quantity Adsorbed (cm³/g STP), Quantity Adsorbed (cm³/cm³ STP), Saturation Pressure (mmHg)
0.992459021804384, 741.432067871094, 438.280783600804, 403.285730061792, 747.065673828125
0.968971716738818, 723.931579589844, 434.675692590309, 399.96849185627, 747.113220214844
0.945146744842353, 706.137512207031, 432.735166257238, 398.182909169968, 747.119445800781
0.908884169649503, 679.063842773438, 431.41433264133, 396.967539094407, 747.14013671875
0.808412517776523, 604.018310546875, 429.885662028469, 395.560927015578, 747.165954589844
0.70692934690487, 528.195007324219, 429.034587561151, 394.777807607355, 747.168029785156
0.606482810032919, 453.152709960937, 428.388541187113, 394.183345579001, 747.181457519531
0.525426147688938, 392.571838378906, 427.900164240239, 393.733963673759, 747.1494140625
0.425460969635094, 317.889068603516, 427.150152880917, 393.043837868758, 747.163879394531
0.324767989431798, 242.664306640625, 426.613710611926, 392.55022847455, 747.192810058594
0.225477048517594, 168.473205566406, 426.034885677875, 392.017620509883, 747.185607910156
0.125378731132671, 93.6835174560547, 425.264146851919, 391.308422247621, 747.204223632813
0.07597988844357, 56.7735137939453, 424.683034083114, 390.773709123101, 747.217651367188
0.050090213304292, 37.4290161132812, 424.198468034839, 390.327833830701, 747.232116699219
0.025583084300706, 19.1171112060547, 423.312018014584, 389.512163472889, 747.255920410156
0.0155372101586, 11.6080551147461, 422.343348501666, 388.620838536175, 747.113220214844
0.01025922686966, 7.66535568237305, 421.256770722822, 387.621019860098, 747.1669921875
0.007573381148637, 5.65888595581055, 419.382023205233, 385.895963801055, 747.207336425781
0.006684151178675, 4.99320983886719, 405.394838771769, 373.025602843372, 747.022277832031
0.006591465252472, 4.92401885986328, 391.392400232832, 360.141205762518, 747.029479980469
0.006476398362234, 4.83700942993164, 376.608133357689, 346.537406364366, 746.8671875
0.006331413543284, 4.72798538208008, 362.781039360111, 333.814353230178, 746.750366210938
0.006342983521625, 4.76467895507813, 348.983924312552, 321.118885340878, 751.173156738281
0.005398554033869, 4.05496978759766, 334.871064060354, 308.13288330057, 751.121459960938
0.005399676821484, 4.05392074584961, 320.905947826091, 295.28282848032, 750.77099609375
0.005185293905428, 3.88619232177734, 308.525436498014, 283.890853891652, 749.464233398438
