Relative Pressure (p/p°), Absolute Pressure (mmHg), Quantity Adsorbed (cm³/g STP), Quantity Adsorbed (cm³/cm³ STP), Saturation Pressure (mmHg)
5.89336141159628E-05, 0.043834015727043, 14.774986510654, 13.5952600354694, 743.786315917969
9.79279229784625E-05, 0.072798974812031, 29.5093098660256, 27.1531037139406, 743.393432617188
0.000128739076067, 0.095683157444, 44.3606020333852, 40.8185766896616, 743.233215332031
0.000154113041743, 0.114521369338036, 59.1864981567063, 54.4606813988649, 743.099792480469
0.000176215613783, 0.130948528647423, 73.9748082696291, 68.0682011976392, 743.115356445313
0.000197045800223, 0.146465644240379, 88.8871435545212, 81.7898432301394, 743.3076171875
0.00021737973068, 0.161619335412979, 103.780292366652, 95.4938307567511, 743.488525390625
0.000238387104, 0.177312761545181, 118.487532752026, 109.026753937367, 743.801818847656
0.00026206131427, 0.194936573505402, 133.43053906655, 122.776618034443, 743.858642578125
0.000289443295472, 0.215283662080765, 148.347160407265, 136.502203897511, 743.785278320313
0.000338208706888, 0.253322511911392, 163.239832523397, 150.205752790486, 749.012390136719
0.000376533408548, 0.280812084674835, 178.154872140131, 163.929883224217, 745.782653808594
0.000434051491719, 0.323233753442764, 193.078106809052, 177.661554366387, 744.689880371094
0.000517628846603, 0.385462790727615, 208.042529269964, 191.43112461202, 744.670227050781
0.00063688096829, 0.474542170763016, 222.968000301582, 205.164853551833, 745.103393554688
0.000808821119078, 0.602811753749847, 237.932284661208, 218.934296723042, 745.296752929688
0.00107096775051, 0.798481106758118, 252.900459744394, 232.707319958332, 745.569702148438
0.001492865042896, 1.11322009563446, 267.792957697784, 246.410708594798, 745.693725585938
0.002308089462946, 1.72088932991028, 282.610316313897, 260.044957484271, 745.590393066406
0.004212783436055, 3.14141583442688, 297.108332385324, 273.385362116609, 745.6865234375
0.00509262468024, 3.79739093780518, 311.905927709846, 287.001425738154, 745.664794921875
0.005207124004103, 3.88321590423584, 327.075068749861, 300.959368563008, 745.750610351563
0.005974616533456, 4.45647573471069, 341.453539119307, 314.189772762969, 745.901550292969
0.008560392140982, 6.38641357421875, 355.261044061049, 326.89480095292, 746.042175292969
0.009779760318474, 7.29739761352539, 358.386777435507, 329.770956406373, 746.173461914063
0.011769305854722, 8.78285598754883, 374.247183540026, 344.364969409606, 746.2509765625
0.012599661317925, 9.40450286865234, 389.074848481248, 358.008701703329, 746.4091796875
0.013464461723261, 10.0502624511719, 403.101575409856, 370.915447838321, 746.428833007812
0.016613143105399, 12.4026756286621, 418.088948076153, 384.706135802731, 746.558044433594
0.020205902756693, 15.0894966125488, 422.069682131678, 388.369023384921, 746.786560058594
0.031502913398897, 23.526309967041, 423.703050978377, 389.871973941844, 746.797912597656
0.045229581620394, 33.7767028808594, 424.157284439308, 390.289938588628, 746.783447265625
0.057022346349994, 42.58251953125, 424.425660701656, 390.536886027216, 746.768981933594
0.060853190999502, 45.4444046020508, 424.496083154528, 390.601685515082, 746.787536621094
0.070282065132152, 52.4859161376953, 424.650698961898, 390.743955838326, 746.789611816406
0.080744952709374, 60.3010787963867, 424.80070022334, 390.881980069582, 746.809265136719
0.090093172542205, 67.2807388305664, 424.909693693131, 390.982270825375, 746.790649414062
0.100066027026232, 74.7289962768555, 425.010640673497, 391.075157573317, 746.796875
0.149427974025091, 111.594970703125, 425.443797663128, 391.473728624869, 746.814453125
0.20093853464973, 150.062759399414, 425.821586769706, 391.821352708234, 746.809265136719
0.250361788498285, 186.972763061523, 426.105931852856, 392.082993918021, 746.810302734375
0.30022070193103, 224.211944580078, 426.364816067756, 392.321207213045, 746.82373046875
0.350026809910015, 261.412322998047, 426.597995609914, 392.535768255676, 746.835144042969
0.39971604159068, 298.525695800781, 426.816177966124, 392.736529580615, 746.844421386719
0.449669299516136, 335.8330078125, 427.03498011043, 392.937861205928, 746.844421386719
0.499644937959344, 373.1875, 427.242351457986, 393.128674740132, 746.905395507813
0.549451499059941, 410.396270751953, 427.506476492073, 393.371710394865, 746.919921875
0.599786019889871, 447.993957519531, 427.737840152749, 393.584600547244, 746.922973632813
0.649449603779114, 485.080108642578, 428.016003730486, 393.840553821314, 746.909545898438
0.699602027728458, 522.546691894531, 428.316146379919, 394.116731221803, 746.919921875
0.749483051145925, 559.809997558594, 428.673390307742, 394.445450580791, 746.928161621094
0.79970409078515, 597.347961425781, 429.036412807689, 394.779487114899, 746.961242675781
0.849364093593971, 634.478088378906, 429.586132513867, 395.285313793435, 747.003662109375
0.899437098825059, 671.873474121094, 430.386376461893, 396.021661305996, 746.993286132813
0.948351566916511, 708.440673828125, 431.856515939924, 397.374415738484, 747.023254394531
0.973167681929434, 726.976928710937, 433.70321502347, 399.073662924258, 747.021240234375
0.983867271344414, 734.986022949219, 435.504502284007, 400.731124248362, 747.037780761719
0.992459021804384, 741.432067871094, 438.280783600804, 403.285730061792, 747.065673828125
