Relative Pressure (p/p°), Absolute Pressure (mmHg), Quantity Adsorbed (cm³/g STP), Quantity Adsorbed (cm³/cm³ STP), Saturation Pressure (mmHg)
2.02124675990414E-05, 0.01497049909085, 14.9908787967024, 21.4091783009982, 740.656677246094
3.20674735189472E-05, 0.023875975981355, 29.9572090521702, 42.7832976769362, 744.554321289063
4.14284540107091E-05, 0.030744679272175, 44.9238682101271, 64.1578867739711, 742.115051269531
4.8135451069111E-05, 0.035673122853041, 59.8918318270936, 85.5343388302029, 741.098754882813
5.41544916910564E-05, 0.040063809603453, 74.8563871905698, 106.905923399501, 739.805847167969
6.02156727910414E-05, 0.044503748416901, 89.7989076505822, 128.246038887933, 739.072509765625
6.71949379936188E-05, 0.049603566527367, 104.754308096541, 149.604548889415, 738.203918457031
7.60096632103199E-05, 0.056071415543556, 119.696655780946, 170.944417628885, 737.68798828125
9.1637188293269E-05, 0.067554377019405, 134.664819922085, 192.321156063108, 737.193908691406
0.000124954873188, 0.092097125947476, 149.617780196589, 213.676181141092, 737.043090820313
0.000217169628591, 0.160141989588738, 164.498283029707, 234.927726342886, 737.405090332031
0.000523422159776, 0.386260539293289, 179.097845734738, 255.778047748818, 737.952209472656
0.001719106373477, 1.26900279521942, 193.720862589257, 276.66186512754, 738.175842285156
0.006873096545753, 5.07624912261963, 206.297769610293, 294.623536924105, 738.567993164063
0.01062126420096, 7.85079002380371, 209.598784379975, 299.337871202752, 739.157775878906
0.020305545481368, 15.0087490081787, 214.40123763616, 306.196480323552, 739.145324707031
0.031981821702095, 23.639612197876, 217.548185943336, 310.690785048849, 739.157775878906
0.042166791896021, 31.1681308746338, 219.27078940715, 313.150915985723, 739.162963867188
0.048619188116776, 35.9387168884277, 220.087974047289, 314.317975762728, 739.187927246094
0.059106176950121, 43.6935234069824, 221.12304365763, 315.796207302203, 739.237854003906
0.070534042969152, 52.1448097229004, 221.952721492484, 316.981109197525, 739.285705566406
0.080459203456569, 59.4875297546387, 222.520517512915, 317.792005370116, 739.350219726563
0.090812975143006, 67.1364517211914, 223.004106783965, 318.48264192777, 739.282592773438
0.100429373243476, 74.2518539428711, 223.372606897032, 319.008914251866, 739.343994140625
0.148394932836209, 109.656555175781, 224.584983087446, 320.740365648443, 738.950805664063
0.201016638835509, 148.599746704102, 225.318715300787, 321.78824309403, 739.241027832031
0.251766117134618, 186.131286621094, 225.767216443385, 322.428768646954, 739.302368164063
0.300977818394659, 222.522064208984, 226.048694514952, 322.830760705174, 739.330444335937
0.350421631795536, 259.087219238281, 226.334776631578, 323.239328016446, 739.358520507813
0.39980749004947, 295.613983154297, 226.535422875028, 323.525880343344, 739.390808105469
0.449469708207642, 332.32861328125, 226.744246876253, 323.824111710322, 739.379333496094
0.49958823646428, 369.414855957031, 226.911017250399, 324.062284316734, 739.438659667969
0.549386909511565, 406.277923583984, 227.101197653325, 324.333889885082, 739.511474609375
0.59979991008623, 443.555145263672, 227.23427956241, 324.523950411811, 739.505187988281
0.649535972135302, 480.366302490234, 227.37304175759, 324.72212322198, 739.553039550781
0.6993968413331, 517.278198242188, 227.599268566831, 325.045208356694, 739.606140136719
0.749877029061747, 554.566833496094, 227.819210625069, 325.359317943233, 739.543701171875
0.799682668489925, 591.36865234375, 228.096548224821, 325.755396799128, 739.504150390625
0.849223797838773, 628.088439941406, 228.60345067155, 326.479327998254, 739.602966308594
0.898900005322355, 664.886169433594, 229.570676560527, 327.86066873186, 739.666442871094
0.946024647442485, 699.74072265625, 232.126308936932, 331.510487395613, 739.664367675781
0.968723163666499, 716.457458496094, 236.493729319539, 337.747805631233, 739.589477539063
0.980100813478065, 724.859985351563, 242.08694324832, 345.735737219556, 739.576965332031
0.988376541762923, 731.146057128906, 250.488366176544, 357.734204013378, 739.744445800781
