Relative Pressure (p/p°), Absolute Pressure (mmHg), Quantity Adsorbed (cm³/g STP), Quantity Adsorbed (cm³/cm³ STP), Saturation Pressure (mmHg)
4.28383507529424E-05, 0.031653739511967, 14.9145516372365, 16.1301498964719, 738.911254882813
6.79790081649477E-05, 0.050145264714956, 29.9220108669652, 32.3607797423159, 737.658081054687
9.00697400556323E-05, 0.066829487681389, 44.9063883970327, 48.5664466335601, 741.974914550781
0.00010704605435, 0.079310156404972, 59.8531496125052, 64.7314313234394, 740.897521972656
0.000120342983283, 0.088911958038807, 74.7999189632965, 80.8964248117, 738.8212890625
0.000133935941437, 0.098735362291336, 89.7853703222462, 97.1032530533658, 737.183471679688
0.000147196997593, 0.108356863260269, 104.740175422443, 113.276937238175, 736.135009765625
0.000161612107525, 0.118857882916927, 119.617221597334, 129.366524820453, 735.451599121094
0.00017927199366, 0.13177190721035, 134.495549475545, 145.457498570226, 735.039001464844
0.00020113460265, 0.147833675146103, 149.295169295233, 161.463349225928, 734.998718261719
0.000229059941763, 0.168370842933655, 164.070838138527, 177.443296800612, 735.051452636719
0.000268394988223, 0.197371259331703, 178.77619154715, 193.347197938979, 735.376098632813
0.000322268141807, 0.237207546830177, 193.390912477202, 209.153079673184, 736.056457519531
0.000403759968361, 0.29725107550621, 207.81846462228, 224.7565375846, 736.207397460938
0.000550299323706, 0.405334144830704, 222.590697391692, 240.732769031028, 736.5703125
0.000846338941168, 0.623551785945892, 237.10771453921, 256.432983716296, 736.763671875
0.001644365441292, 1.2119015455246, 251.729741307929, 272.246766745536, 737.002563476563
0.004740571767067, 3.49522495269775, 265.255529039475, 286.874962676884, 737.30029296875
0.007179741170261, 5.29479837417603, 269.284402649355, 291.232206315308, 737.463684082031
0.006631868755757, 4.89093399047852, 284.492418496003, 307.679738980112, 737.489562988281
0.006749550534679, 4.97895812988281, 299.925596207171, 324.370785141937, 737.672546386719
0.006847507758405, 5.05144500732422, 315.679121922753, 341.408289008687, 737.705627441406
0.007001049956664, 5.1663932800293, 329.612613492729, 356.477418344349, 737.945495605469
0.007661572731545, 5.65724563598633, 343.880228178618, 371.907903225566, 738.392211914062
0.009704025475409, 7.17019271850586, 347.922113957106, 376.279219578694, 738.888488769531
0.022921939721447, 16.9489402770996, 350.832087873225, 379.426368524468, 739.419982910156
0.033873101243858, 25.0500907897949, 351.78695473582, 380.459061025018, 739.527526855469
0.045405342913676, 33.5778884887695, 352.473288498836, 381.201333856661, 739.514038085938
0.056697798758645, 41.9296417236328, 353.041693873731, 381.816066643943, 739.528564453125
0.060724783133695, 44.9120407104492, 353.265094554343, 382.05767541321, 739.599853515625
0.070584326960219, 52.2064971923828, 353.70519501038, 382.533645894793, 739.632995605469
0.08060605151691, 59.6231460571289, 354.116836140963, 382.978837497019, 739.685729980469
0.090772176057701, 67.1433486938477, 354.515505233518, 383.40999978593, 739.690856933594
0.100884242980082, 74.6241989135742, 354.906738317458, 383.833120000464, 739.701232910156
0.148806334671396, 110.085762023926, 356.489430686329, 385.544808408592, 739.792175292969
0.200122988068887, 148.058532714844, 358.160736750919, 387.352332898797, 739.837707519531
0.249765738979277, 184.812454223633, 359.895147061602, 389.228104894748, 739.943176269531
0.29939063242996, 221.539474487305, 361.691053118701, 391.170384797328, 739.967956542969
0.348971321618627, 258.233367919922, 363.575343282053, 393.208252480016, 739.984497070313
0.398114650398143, 294.589630126953, 365.442987267459, 395.228117251722, 739.961791992188
0.447988812093233, 331.502014160156, 367.325564481134, 397.26413237218, 739.978332519531
0.498271443784477, 368.715728759766, 369.034561394169, 399.112419672418, 739.989685058594
0.548003979973778, 405.541107177734, 370.666631343744, 400.877510140338, 740.033142089844
0.598375158287903, 442.830413818359, 372.171253569401, 402.504765362467, 740.054809570313
0.648368336124441, 479.842193603516, 373.541176948933, 403.986343219851, 740.076538085938
0.698662022057659, 517.059020996094, 374.749902914655, 405.293585400848, 740.0703125
0.748530057755374, 554.034545898438, 375.885614614153, 406.521862347929, 740.163391113281
0.798925139781637, 591.314514160156, 376.951852794243, 407.675003393568, 740.137573242188
0.848776503026314, 628.222778320313, 378.114702912925, 408.932630654359, 740.151000976563
0.89889177922399, 665.336059570313, 379.512525464064, 410.444381582376, 740.173706054688
0.947456055131188, 701.315368652344, 382.087637716607, 413.229376240214, 740.208862304688
0.971423174193991, 719.075134277344, 385.956894790951, 417.41399392871, 740.228515625
0.982340392306372, 727.197021484375, 390.693916488002, 422.537102681473, 740.269897460938
0.99011284645643, 732.968139648438, 398.299467967391, 430.762538376207, 740.287475585938
