Relative Pressure (p/p°), Absolute Pressure (mmHg), Quantity Adsorbed (cm³/g STP), Quantity Adsorbed (cm³/cm³ STP), Saturation Pressure (mmHg)
0.988376541762923, 731.146057128906, 250.488366176544, 357.734204013378, 739.744445800781
0.974082086798802, 720.605285644531, 245.070802091749, 349.997126219516, 739.77880859375
0.95932529335502, 709.604675292969, 238.24508730597, 340.249002252784, 739.69140625
0.922673940999395, 682.588989257813, 231.626579441757, 330.796800225598, 739.794372558594
0.810920848237338, 599.93408203125, 228.601525065157, 326.476577949297, 739.818298339844
0.706306675074401, 522.581237792969, 227.892889707674, 325.464542502643, 739.878662109375
0.605768516853302, 448.17626953125, 227.470137005985, 324.860789507877, 739.847412109375
0.50550556000761, 373.999633789062, 227.132301326118, 324.378310501489, 739.852661132813
0.425425681044291, 314.706726074219, 226.789234276179, 323.888360329725, 739.745483398437
0.325190825115731, 240.587203979492, 226.294846862612, 323.182302437431, 739.833923339844
0.225573643515731, 166.892196655273, 225.590769152223, 322.176775980717, 739.856811523438
0.127025883391089, 93.9756774902344, 224.086303227908, 320.028177512393, 739.815185546875
0.07694007641597, 56.9320030212402, 222.196826868188, 317.329727552964, 739.952514648438
0.051346476368878, 37.9877052307129, 220.19657609241, 314.473075445633, 739.830810546875
0.024754539108709, 18.3147373199463, 215.526211251185, 307.803107995926, 739.853698730469
0.014652568650354, 10.8401927947998, 211.660448521685, 302.282230623251, 739.815185546875
0.010013183045508, 7.40757179260254, 208.747067498097, 298.12149430895, 739.781921386719
0.007562041029442, 5.59420585632324, 206.585580375575, 295.034572999737, 739.774597167969
0.005185165769783, 3.83585929870605, 203.59123386706, 290.758206072544, 739.775634765625
