# simulation   porous_volume (A^3)
\\ZIFCH3	1231.50242424 1240.30575758 1237.74689655 1206.92153846 1182.8468
\\ZIFCl	1211.1895122 1208.41147059 1216.26566667 1224.084 1165.42925926
\\ZIFBr	1107.13846154 1117.33794118 1108.79875 1128.76592593 1101.71107143
