Relative Pressure (p/p°), Absolute Pressure (mmHg), Quantity Adsorbed (cm³/g STP), Quantity Adsorbed (cm³/cm³ STP), Saturation Pressure (mmHg)
0.99011284645643, 732.968139648438, 398.299467967391, 430.762538376207, 740.287475585938
0.979006333477862, 724.756225585938, 394.649109985633, 426.814660970726, 740.297790527344
0.96018968473429, 710.883911132813, 388.416699009888, 420.07428246654, 740.357788085938
0.922794487990228, 683.255310058594, 384.279830034595, 415.600241389305, 740.419799804688
0.818421196229617, 606.014221191406, 382.175258994086, 413.324139017818, 740.467407226562
0.723063042244579, 535.503295898438, 381.057304011166, 412.115066033889, 740.603881835937
0.626741762335534, 464.183563232422, 379.84751361734, 410.80667266945, 740.629699707031
0.527821894455949, 390.961517333984, 377.602103110368, 408.378251826672, 740.707275390625
0.428592009687026, 317.484710693359, 374.106305391998, 404.59753199167, 740.762084960938
0.329523971541929, 244.137359619141, 369.396310632341, 399.503652984594, 740.87890625
0.228830200072789, 169.582550048828, 364.351255992608, 394.04740531761, 741.084655761719
0.12868269946391, 95.3901901245117, 359.689827027471, 389.006050420177, 741.282165527344
0.077112570572552, 57.1719818115234, 357.430415442744, 386.56248735332, 741.409362792969
0.051228366989462, 37.9872817993164, 356.190986367681, 385.222039631318, 741.528259277344
0.025923877091866, 19.2261276245117, 354.831255517739, 383.751485037263, 741.637817382813
0.01568127382418, 11.6303291320801, 353.938198262625, 382.785639885394, 741.669921875
0.010380998514194, 7.69935989379883, 353.083072758246, 381.860818080393, 741.678161621094
0.007647599226551, 5.67381286621094, 350.478087205219, 379.043515323294, 741.90771484375
0.006502100035057, 4.82465744018555, 335.126547241236, 362.440760726067, 742.015258789063
0.006116831652635, 4.53988265991211, 319.520065545919, 345.562285581462, 742.195129394531
0.005912504822637, 4.38869094848633, 305.170919127705, 330.043623791164, 742.272705078125
0.005807247773932, 4.3110237121582, 289.820956058602, 313.442574612336, 742.352294921875
0.005735128342368, 4.25820922851563, 275.26976185704, 297.705397300356, 742.478454589844
0.005048292446047, 3.74871826171875, 265.517687559994, 287.158488211909, 742.571533203125
