# p     wt%     sigma_wt%
0 0 0
1 9.99464912096 0.337696107037
5 21.1492656704 0.545049646035
10 24.2653830045 0.177596033967
20 26.5882163703 0.300333496005
30 28.1805806365 0.404755531587
40 28.7854042605 0.641374176662
50 29.4402525717 0.577955868617
60 29.8213569384 0.430301023075
