# p     V     s_V
1 17241.578594 76.8341782049
5 17054.901018 84.9775406232
10 17134.579914 87.229348431
20 17246.80902 65.551090371
30 17375.761346 35.5315755145
40 17473.181194 84.7830006917
50 17467.56287 41.4889049739
60 17508.530956 30.0324340464
