# step neighbors
-20.0 4.1
-19.666666666666668 4.075
-19.333333333333332 4.025
-19.0 4.125
-18.666666666666668 4.05
-18.333333333333332 4.05
-18.0 4.1
-17.666666666666668 4.0
-17.333333333333332 4.025
-17.0 4.0
-16.666666666666668 4.025
-16.333333333333332 4.05
-16.0 4.0
-15.666666666666668 4.025
-15.333333333333332 4.05
-15.0 4.05
-14.666666666666668 4.025
-14.333333333333332 4.05
-14.0 4.05
-13.666666666666668 4.0
-13.333333333333332 4.025
-13.0 4.05
-12.666666666666668 4.025
-12.333333333333332 4.0
-12.0 4.025
-11.666666666666666 4.15
-11.333333333333334 4.05
-11.0 4.0
-10.666666666666666 4.025
-10.333333333333334 4.025
-10.0 4.075
-9.666666666666666 4.125
-9.333333333333334 4.0
-9.0 4.075
-8.666666666666666 4.05
-8.333333333333334 4.05
-8.0 4.05
-7.666666666666666 4.05
-7.333333333333334 4.1
-7.0 4.075
-6.666666666666666 4.15
-6.333333333333334 4.075
-6.0 4.05
-5.666666666666666 4.1
-5.333333333333334 4.0
-5.0 4.075
-4.666666666666666 4.075
-4.333333333333334 4.025
-4.0 4.0
-3.666666666666668 4.0
-3.333333333333332 4.025
-3.0 4.0
-2.666666666666668 4.025
-2.333333333333332 4.0
-2.0 4.0
-1.6666666666666679 4.0
-1.3333333333333321 4.0
-1.0 3.975
-0.6666666666666679 4.0
-0.33333333333333215 4.0
0.0 3.975
0.33333333333333215 3.95
0.6666666666666679 4.0
1.0 4.0
1.3333333333333321 4.0
1.6666666666666679 4.0
2.0 4.0
2.333333333333332 4.05
2.666666666666668 4.0
3.0 4.05
3.333333333333332 4.05
3.666666666666668 4.05
4.0 4.0
4.333333333333332 4.0
4.666666666666668 4.025
5.0 4.025
5.333333333333332 4.075
5.666666666666668 4.05
6.0 4.05
6.333333333333332 4.125
6.666666666666668 4.05
7.0 4.15
7.333333333333332 4.025
7.666666666666668 4.1
8.0 4.025
8.333333333333332 4.1
8.666666666666668 4.05
9.0 4.1
9.333333333333332 4.1
9.666666666666668 4.0
10.0 4.05
10.333333333333332 4.05
10.666666666666668 4.05
11.0 4.05
11.333333333333332 4.0
11.666666666666668 4.0
12.0 4.0
12.333333333333336 4.0
12.666666666666664 4.0
13.0 3.975
13.333333333333336 4.0
13.666666666666664 4.0
14.0 4.0
14.333333333333336 4.0
14.666666666666664 4.0
15.0 3.975
15.333333333333336 4.0
15.666666666666664 4.0
16.0 4.0
16.333333333333336 4.0
16.666666666666664 4.0
17.0 4.0
17.333333333333336 4.1
17.666666666666664 4.025
18.0 4.175
18.333333333333336 4.075
18.666666666666664 4.025
19.0 4.025
19.333333333333336 4.025
19.666666666666664 4.05
