# p t1 t2 %1 %2 Δt1 Δt2 Δ%1 Δ%2
0 2.872492352 27.7444540892 20.9277563021 47.9181022085 0.0416366845102 0.16033486385 0.125033669141 0.162628189452
0.1 3.61542411589 38.1787490746 22.0231948389 46.4701302981 0.0683054813007 0.471149829452 0.205609786162 0.271551148046
0.2 3.18759189825 36.5006154087 20.9740281146 47.7157970233 0.0432710460631 0.262749375794 0.120119184004 0.160495364794
0.3 3.2295446838 39.9232819653 20.9217758377 47.2275255124 0.0452551468029 0.32286802473 0.122769323586 0.164028159408
0.5 2.99086524958 40.3679548931 19.2085146087 47.8783785606 0.0502234267118 0.33440182384 0.127708806183 0.162977182053
1 3.06737717751 46.4743276872 18.3772405831 46.7343055048 0.0388339714643 0.323991157894 0.091523326004 0.117514742296
