# value histogram
0.0 0.0175951646090535
0.9 0.01762139917695473
1.8 0.017575102880658437
2.7 0.017525720164609054
3.6 0.01756327160493827
4.5 0.01748148148148148
5.4 0.01726800411522634
6.3 0.01714917695473251
7.2 0.01687448559670782
8.1 0.016443930041152265
9.0 0.015872942386831276
9.9 0.01520216049382716
10.8 0.014314814814814815
11.700000000000001 0.013608024691358024
12.6 0.012644547325102881
13.5 0.011578703703703704
14.4 0.010699588477366255
15.3 0.009550411522633745
16.2 0.00825977366255144
17.1 0.007494341563786008
18.0 0.006452674897119342
18.900000000000002 0.005734053497942387
19.8 0.004904835390946502
20.7 0.00406738683127572
21.6 0.0034243827160493827
22.5 0.002962962962962963
23.400000000000002 0.0024074074074074076
24.3 0.0019516460905349795
25.2 0.0016193415637860082
26.1 0.0013281893004115227
27.0 0.0010931069958847737
27.900000000000002 0.00086059670781893
28.8 0.0007592592592592592
29.7 0.0005596707818930041
30.6 0.00047685185185185184
31.5 0.00039969135802469136
32.4 0.00030401234567901237
33.300000000000004 0.00024537037037037035
34.2 0.00021347736625514403
35.1 0.00018106995884773663
36.0 0.00013425925925925926
36.9 0.00012602880658436213
37.800000000000004 0.0001080246913580247
38.7 8.281893004115227e-05
39.6 7.561728395061728e-05
40.5 6.584362139917696e-05
41.4 5.8127572016460905e-05
42.300000000000004 5.246913580246914e-05
43.2 4.578189300411523e-05
44.1 4.6296296296296294e-05
45.0 3.446502057613169e-05
45.9 2.8292181069958848e-05
46.800000000000004 3.3436213991769545e-05
47.7 2.7263374485596707e-05
48.6 2.4176954732510288e-05
49.5 2.05761316872428e-05
50.4 2.1604938271604937e-05
51.300000000000004 2.211934156378601e-05
52.2 1.800411522633745e-05
53.1 1.388888888888889e-05
54.0 1.4917695473251029e-05
54.9 1.5946502057613168e-05
55.800000000000004 2.05761316872428e-05
56.7 1.7489711934156377e-05
57.6 1.697530864197531e-05
58.5 1.8518518518518518e-05
59.4 2.366255144032922e-05
60.300000000000004 2.8806584362139917e-05
61.2 2.623456790123457e-05
62.1 2.520576131687243e-05
63.0 2.520576131687243e-05
63.9 3.240740740740741e-05
64.8 3.137860082304527e-05
65.7 3.549382716049383e-05
66.60000000000001 4.6296296296296294e-05
67.5 3.7037037037037037e-05
68.4 4.3209876543209875e-05
69.3 5.6069958847736624e-05
70.2 4.4753086419753084e-05
71.10000000000001 5.041152263374486e-05
72.0 5.5041152263374486e-05
72.9 5.401234567901235e-05
73.8 6.17283950617284e-05
74.7 5.401234567901235e-05
75.60000000000001 7.150205761316872e-05
76.5 8.024691358024691e-05
77.4 7.613168724279835e-05
78.3 8.590534979423868e-05
79.2 9.207818930041152e-05
80.10000000000001 0.00010699588477366255
81.0 0.00011419753086419754
81.9 0.00011522633744855967
82.8 0.0001455761316872428
83.7 0.00016718106995884774
84.60000000000001 0.00017901234567901234
85.5 0.00018415637860082305
86.4 0.00022839506172839507
87.3 0.0002494855967078189
88.2 0.0002844650205761317
89.10000000000001 0.00039300411522633744
90.0 0.0004110082304526749
90.9 0.0005005144032921811
91.8 0.0005848765432098765
92.7 0.0006944444444444445
93.60000000000001 0.0008544238683127572
94.5 0.0010637860082304527
95.4 0.0013122427983539094
96.3 0.001588991769547325
97.2 0.0019207818930041152
98.10000000000001 0.002308641975308642
99.0 0.002887860082304527
99.9 0.003468106995884774
100.8 0.004191358024691358
101.7 0.005219650205761317
102.60000000000001 0.0062309670781893
103.5 0.0074809670781893
104.4 0.008762860082304527
105.3 0.01026954732510288
106.2 0.011910493827160494
107.10000000000001 0.013758230452674897
108.0 0.015614711934156379
108.9 0.017435699588477366
109.8 0.019444958847736626
110.7 0.021247942386831274
111.60000000000001 0.023266460905349794
112.5 0.024891460905349796
113.4 0.026222222222222223
114.3 0.027488168724279834
115.2 0.028217078189300412
116.10000000000001 0.02879372427983539
117.0 0.028955246913580247
117.9 0.02868261316872428
118.8 0.028186213991769547
119.7 0.027231995884773662
120.60000000000001 0.025914094650205763
121.5 0.024583847736625513
122.4 0.02285648148148148
123.3 0.02097736625514403
124.2 0.01920524691358025
125.10000000000001 0.017227366255144032
126.0 0.01525051440329218
126.9 0.013383744855967078
127.8 0.011556069958847736
128.70000000000002 0.009962448559670782
129.6 0.008580246913580248
130.5 0.007234567901234568
131.4 0.006070473251028807
132.3 0.005006172839506173
133.20000000000002 0.004118312757201646
134.1 0.0034012345679012347
135.0 0.0027818930041152265
135.9 0.0023081275720164608
136.8 0.0018719135802469137
137.70000000000002 0.0014994855967078188
138.6 0.0012325102880658436
139.5 0.0010329218106995884
140.4 0.0008317901234567902
141.3 0.0006594650205761316
142.20000000000002 0.0005488683127572016
143.1 0.000448559670781893
144.0 0.00039660493827160494
144.9 0.00035905349794238683
145.8 0.00029423868312757203
146.70000000000002 0.0002412551440329218
147.6 0.0002258230452674897
148.5 0.00019032921810699588
149.4 0.00016666666666666666
150.3 0.00016358024691358024
151.20000000000002 0.00012037037037037037
152.1 0.00010596707818930041
153.0 0.00011316872427983539
153.9 9.670781893004115e-05
154.8 9.002057613168725e-05
155.70000000000002 8.693415637860083e-05
156.6 7.561728395061728e-05
157.5 7.355967078189301e-05
158.4 5.2983539094650204e-05
159.3 5.9670781893004115e-05
160.20000000000002 5.6069958847736624e-05
161.1 4.372427983539095e-05
162.0 4.6810699588477366e-05
162.9 4.732510288065844e-05
163.8 3.6522633744855964e-05
164.70000000000002 4.0123456790123456e-05
165.6 4.0123456790123456e-05
166.5 3.4979423868312755e-05
167.4 3.7037037037037037e-05
168.3 3.9609053497942384e-05
